rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.14706618520476,78.77137739600137,000567,海德股份,bottom_area,2026-04-09,5.1,7.02,2026-03-23,5.03,1.3916500994035665,7.355864811133203,28.347578347578338,27.350427350427353,True,-3.0418,0.5542,1,1,1,100.0,38.67924528301886,38.67924528301886,18.608349900596437,1.3916500994035665,历史1/1次成功; 当前距低点1.39%; 最新日涨幅-3.04%; 状态bottom_area; 底部已确认
2,90.76399424631416,77.52451372416134,001391,国货航,bottom_area,2026-04-09,5.27,7.73,2026-04-03,5.2,1.3461538461538345,2.8846153846153744,32.729624838292374,31.824062095730927,False,-1.4953,1.1846,1,1,1,100.0,30.39647577092513,30.39647577092513,18.653846153846164,1.3461538461538345,历史1/1次成功; 当前距低点1.35%; 最新日涨幅-1.50%; 状态bottom_area; 底部未确认
3,88.82094690748144,76.93285684559143,001328,登康口腔,bottom_area,2026-04-09,31.93,44.35,2026-04-07,31.27,2.110649184521906,4.924848097217789,29.492671927846676,28.00450958286359,False,-2.5038,3.5126,1,1,1,100.0,36.58675799086758,36.58675799086758,17.889350815478096,2.110649184521906,历史1/1次成功; 当前距低点2.11%; 最新日涨幅-2.50%; 状态bottom_area; 底部未确认
4,86.42812939269585,75.03353938537616,300080,易成新能,bottom_area,2026-04-09,4.57,6.38,2026-04-03,4.47,2.237136465324397,7.382550335570472,29.93730407523511,28.369905956112845,True,-4.1929,1.864,1,1,1,100.0,28.947368421052627,28.947368421052627,17.762863534675606,2.237136465324397,历史1/1次成功; 当前距低点2.24%; 最新日涨幅-4.19%; 状态bottom_area; 底部已确认
5,85.2182016350879,74.83865034406722,600843,上工申贝,bottom_area,2026-04-09,9.33,12.64,2026-04-07,9.07,2.8665931642778366,5.181918412348389,28.24367088607595,26.186708860759495,False,-2.2013,1.1965,1,1,1,100.0,34.59399332591768,34.59399332591768,17.133406835722166,2.8665931642778366,历史1/1次成功; 当前距低点2.87%; 最新日涨幅-2.20%; 状态bottom_area; 底部未确认
6,83.32054142290764,74.94797486177268,300993,玉马科技,bottom_area,2026-04-09,12.21,16.22,2026-03-23,11.72,4.180887372013654,7.679180887372001,27.74352651048088,24.72256473489518,True,-2.0064,0.8506,1,1,1,100.0,42.09891435464416,42.09891435464416,15.819112627986348,4.180887372013654,历史1/1次成功; 当前距低点4.18%; 最新日涨幅-2.01%; 状态bottom_area; 底部已确认
7,82.98822642622326,72.90995983935744,600611,大众交通,bottom_area,2026-04-09,4.63,6.6,2026-04-07,4.5,2.8888888888888866,4.888888888888884,31.818181818181813,29.848484848484848,False,-1.9068,1.1025,1,1,1,100.0,24.497991967871478,24.497991967871478,17.111111111111114,2.8888888888888866,历史1/1次成功; 当前距低点2.89%; 最新日涨幅-1.91%; 状态bottom_area; 底部未确认
8,82.67814682629474,72.74913150304455,603848,好太太,bottom_area,2026-04-09,15.24,21.38,2026-04-03,14.8,2.9729729729729693,5.810810810810807,30.776426566884936,28.718428437792326,False,-2.0566,0.4358,1,1,1,100.0,24.664031620553352,24.664031620553352,17.02702702702703,2.9729729729729693,历史1/1次成功; 当前距低点2.97%; 最新日涨幅-2.06%; 状态bottom_area; 底部未确认
9,82.39549563122442,69.08939074667887,600163,中闽能源,bottom_area,2026-04-09,5.94,8.82,2026-04-09,5.92,0.33783783783784566,3.040540540540536,32.87981859410431,32.6530612244898,False,-3.7277,2.87,1,1,1,100.0,22.740112994350277,22.740112994350277,19.662162162162154,0.33783783783784566,历史1/1次成功; 当前距低点0.34%; 最新日涨幅-3.73%; 状态bottom_area; 底部未确认
10,81.36956047798498,71.98660929308193,300059,东方财富,bottom_area,2026-04-09,18.95,25.71,2026-04-07,18.35,3.2697547683923585,6.757493188010891,28.626993387786847,26.29327110073902,False,-2.7707,1.5776,1,1,1,100.0,24.202420242024196,24.202420242024196,16.730245231607643,3.2697547683923585,历史1/1次成功; 当前距低点3.27%; 最新日涨幅-2.77%; 状态bottom_area; 底部未确认
11,80.66169724935429,73.34878661087866,300100,双林股份,bottom_area,2026-04-09,30.05,39.36,2026-04-07,28.68,4.776847977684802,6.90376569037657,27.134146341463417,23.653455284552845,False,-1.7974,1.0422,1,1,1,100.0,56.845609654598405,56.845609654598405,15.223152022315201,4.776847977684802,历史1/1次成功; 当前距低点4.78%; 最新日涨幅-1.80%; 状态bottom_area; 底部未确认
12,80.02015273625372,72.7455933965943,002506,协鑫集成,bottom_area,2026-04-09,4.4,5.98,2026-04-03,4.2,4.761904761904765,8.333333333333325,29.76588628762542,26.421404682274247,True,-2.6549,6.7911,2,2,2,100.0,20.713635772780442,21.019108280254766,15.238095238095237,4.761904761904765,历史2/2次成功; 当前距低点4.76%; 最新日涨幅-2.65%; 状态bottom_area; 底部已确认
13,78.7876964394536,70.847816356755,301075,多瑞医药,bottom_area,2026-04-09,63.3,83.57,2026-04-03,60.77,4.163238440019736,6.5657396741813425,27.28251764987435,24.255115472059348,False,-1.0474,1.5003,1,1,1,100.0,29.03225806451612,29.03225806451612,15.836761559980264,4.163238440019736,历史1/1次成功; 当前距低点4.16%; 最新日涨幅-1.05%; 状态bottom_area; 底部未确认
