rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.00577394358437,82.13169548745265,000567,海德股份,bottom_area,2026-04-10,5.16,7.02,2026-03-23,5.03,2.5844930417495005,7.355864811133203,28.347578347578338,26.49572649572649,True,1.1765,0.569,1,1,1,100.0,38.67924528301886,38.67924528301886,17.4155069582505,2.5844930417495005,历史1/1次成功; 当前距低点2.58%; 最新日涨幅1.18%; 状态bottom_area; 底部已确认
2,92.95395729376187,80.74829016826493,001328,登康口腔,bottom_area,2026-04-10,31.98,44.35,2026-04-07,31.27,2.2705468500159927,4.924848097217789,29.492671927846676,27.89177001127396,False,0.1566,0.9303,1,1,1,100.0,36.58675799086758,36.58675799086758,17.72945314998401,2.2705468500159927,历史1/1次成功; 当前距低点2.27%; 最新日涨幅0.16%; 状态bottom_area; 底部未确认
3,91.46892874341056,79.51220603185361,001391,国货航,bottom_area,2026-04-10,5.32,7.73,2026-04-03,5.2,2.3076923076923097,3.0769230769230793,32.729624838292374,31.177231565329883,False,0.9488,1.2507,1,1,1,100.0,30.39647577092513,30.39647577092513,17.69230769230769,2.3076923076923097,历史1/1次成功; 当前距低点2.31%; 最新日涨幅0.95%; 状态bottom_area; 底部未确认
4,86.80144470547756,77.54306958671849,300080,易成新能,bottom_area,2026-04-10,4.64,6.38,2026-04-03,4.47,3.8031319910514525,7.382550335570472,29.93730407523511,27.272727272727277,True,1.5317,1.6847,1,1,1,100.0,28.947368421052627,28.947368421052627,16.19686800894855,3.8031319910514525,历史1/1次成功; 当前距低点3.80%; 最新日涨幅1.53%; 状态bottom_area; 底部已确认
5,85.3804069599374,76.50486864616207,600843,上工申贝,bottom_area,2026-04-10,9.43,12.64,2026-04-07,9.07,3.969128996692386,5.181918412348389,28.24367088607595,25.395569620253173,False,1.0718,1.1932,1,1,1,100.0,34.59399332591768,34.59399332591768,16.030871003307613,3.969128996692386,历史1/1次成功; 当前距低点3.97%; 最新日涨幅1.07%; 状态bottom_area; 底部未确认
6,82.15528513766563,74.00210447601754,603848,好太太,bottom_area,2026-04-10,15.43,21.38,2026-04-03,14.8,4.25675675675675,5.810810810810807,30.776426566884936,27.829747427502337,False,1.2467,0.3413,1,1,1,100.0,24.664031620553352,24.664031620553352,15.743243243243251,4.25675675675675,历史1/1次成功; 当前距低点4.26%; 最新日涨幅1.25%; 状态bottom_area; 底部未确认
7,80.92529742472138,68.30132786137715,000966,长源电力,bottom_area,2026-04-10,4.35,5.95,2026-04-03,4.32,0.6944444444444295,4.86111111111111,27.394957983193276,26.89075630252102,False,0.2304,1.5079,2,3,2,66.66666666666666,29.075239398084808,37.20930232558138,19.30555555555557,0.6944444444444295,历史2/3次成功; 当前距低点0.69%; 最新日涨幅0.23%; 状态bottom_area; 底部未确认
8,79.5985576203118,72.52995983935745,600611,大众交通,bottom_area,2026-04-10,4.72,6.6,2026-04-07,4.5,4.888888888888884,5.3333333333333375,31.818181818181813,28.484848484848484,False,1.9438,1.2833,1,1,1,100.0,24.497991967871478,24.497991967871478,15.111111111111116,4.888888888888884,历史1/1次成功; 当前距低点4.89%; 最新日涨幅1.94%; 状态bottom_area; 底部未确认
9,77.44742939270066,67.39773198931212,600207,安彩高科,bottom_area,2026-04-10,5.62,7.7,2026-04-09,5.49,2.367941712204005,9.836065573770492,28.7012987012987,27.01298701298701,True,-4.7458,4.9886,2,3,2,66.66666666666666,28.38694852941176,34.11764705882352,17.632058287795996,2.367941712204005,历史2/3次成功; 当前距低点2.37%; 最新日涨幅-4.75%; 状态bottom_area; 底部已确认
10,74.43583827542705,64.3563628538154,000767,晋控电力,bottom_area,2026-04-10,3.55,5.12,2026-04-07,3.48,2.011494252873559,6.896551724137938,32.03125,30.664062500000007,False,-1.662,3.5407,2,4,2,50.0,26.089084679393054,29.955947136563882,17.988505747126442,2.011494252873559,历史2/4次成功; 当前距低点2.01%; 最新日涨幅-1.66%; 状态bottom_area; 底部未确认
11,72.08591810422938,61.4971228250367,300760,迈瑞医疗,bottom_area,2026-04-10,158.18,214.12,2026-04-09,156.18,1.2805736970162633,3.6688436419515877,27.059592751728,26.125537082010087,False,1.2028,0.7255,1,3,1,33.33333333333333,32.06181462849697,32.06181462849697,18.719426302983738,1.2805736970162633,历史1/3次成功; 当前距低点1.28%; 最新日涨幅1.20%; 状态bottom_area; 底部未确认
