rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.42458896660078,76.88904920767305,603787,新日股份,bottom_area,2026-04-23,12.05,17.11,2026-04-23,11.99,0.5004170141784862,5.5045871559633035,29.924021040327293,29.57334891876095,False,-5.7858,5.1842,2,2,2,100.0,56.730295566502456,92.85714285714283,19.499582985821515,0.5004170141784862,历史2/2次成功; 当前距低点0.50%; 最新日涨幅-5.79%; 状态bottom_area; 底部未确认
2,87.29976263755145,76.35220397882314,603535,嘉诚国际,bottom_area,2026-04-23,8.16,11.77,2026-03-23,7.95,2.6415094339622636,8.553459119496862,32.4553950722175,30.671197960917585,True,-0.609,0.7398,1,1,1,100.0,30.778739184178,30.778739184178,17.358490566037737,2.6415094339622636,历史1/1次成功; 当前距低点2.64%; 最新日涨幅-0.61%; 状态bottom_area; 底部已确认
3,86.66035731483913,75.33220603185362,001391,国货航,bottom_area,2026-04-23,5.32,7.73,2026-04-03,5.2,2.3076923076923097,3.4615384615384563,32.729624838292374,31.177231565329883,False,-0.1876,0.8024,1,1,1,100.0,30.39647577092513,30.39647577092513,17.69230769230769,2.3076923076923097,历史1/1次成功; 当前距低点2.31%; 最新日涨幅-0.19%; 状态bottom_area; 底部未确认
4,84.6278706893298,75.38859096250401,603848,好太太,bottom_area,2026-04-23,15.34,21.38,2026-04-03,14.8,3.6486486486486425,6.013513513513505,30.776426566884936,28.250701590271277,False,0.1305,0.4483,1,1,1,100.0,24.664031620553352,24.664031620553352,16.351351351351358,3.6486486486486425,历史1/1次成功; 当前距低点3.65%; 最新日涨幅0.13%; 状态bottom_area; 底部未确认
5,84.36221558749864,75.53159260921298,300993,玉马科技,bottom_area,2026-04-23,12.18,16.22,2026-03-23,11.72,3.92491467576791,7.679180887372001,27.74352651048088,24.907521578298393,True,-1.536,0.9547,1,1,1,100.0,42.09891435464416,42.09891435464416,16.07508532423209,3.92491467576791,历史1/1次成功; 当前距低点3.92%; 最新日涨幅-1.54%; 状态bottom_area; 底部已确认
6,82.95711987861061,72.74377197743502,001298,好上好,bottom_area,2026-04-23,21.41,30.62,2026-04-17,20.83,2.784445511281814,7.201152184349496,31.97256694970608,30.078380143696933,False,-2.5046,4.3419,3,4,3,75.0,26.490901844933123,34.86910994764398,17.215554488718187,2.784445511281814,历史3/4次成功; 当前距低点2.78%; 最新日涨幅-2.50%; 状态bottom_area; 底部未确认
7,81.23214028632957,72.64054443915997,601628,中国人寿,bottom_area,2026-04-23,36.88,50.7,2026-04-07,35.51,3.8580681498169658,7.885102787947069,29.960552268244584,27.258382642998026,True,-0.5394,0.0716,1,1,1,100.0,25.736235595390532,25.736235595390532,16.141931850183035,3.8580681498169658,历史1/1次成功; 当前距低点3.86%; 最新日涨幅-0.54%; 状态bottom_area; 底部已确认
8,79.40059008856272,66.3572442630976,002315,焦点科技,bottom_area,2026-04-23,32.0,44.42,2026-04-23,31.95,0.15649452269170802,5.571205007824719,28.072940117064388,27.960378208014408,False,-4.8186,5.3277,2,3,2,66.66666666666666,44.71712423746247,57.129586623316285,19.843505477308295,0.15649452269170802,历史2/3次成功; 当前距低点0.16%; 最新日涨幅-4.82%; 状态bottom_area; 底部未确认
9,77.19236637835444,68.06296296296298,002356,赫美集团,bottom_area,2026-04-23,3.34,4.71,2026-04-03,3.24,3.0864197530864086,8.950617283950605,31.21019108280254,29.087048832271766,True,-1.7647,2.1909,2,4,2,50.0,50.08919076532538,69.37669376693766,16.913580246913593,3.0864197530864086,历史2/4次成功; 当前距低点3.09%; 最新日涨幅-1.76%; 状态bottom_area; 底部已确认
10,74.90957013485027,65.89267743343311,600121,郑州煤电,bottom_area,2026-04-23,4.18,5.69,2026-04-07,4.06,2.955665024630545,6.896551724137938,28.646748681898078,26.537785588752204,False,0.7229,3.6261,3,6,3,50.0,23.44942843865986,29.452054794520542,17.04433497536946,2.955665024630545,历史3/6次成功; 当前距低点2.96%; 最新日涨幅0.72%; 状态bottom_area; 底部未确认
11,74.33842669666296,63.45963254593179,000625,长安汽车,bottom_area,2026-04-23,10.01,13.84,2026-03-30,9.88,1.3157894736842004,4.554655870445337,28.612716763005775,27.673410404624278,False,0.1,1.0157,1,3,1,33.33333333333333,43.0446194225722,43.0446194225722,18.684210526315802,1.3157894736842004,历史1/3次成功; 当前距低点1.32%; 最新日涨幅0.10%; 状态bottom_area; 底部未确认
