rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,99.70378391153875,84.79961002785514,300348,长亮科技,bottom_area,2026-05-25,10.89,14.95,2026-05-25,10.77,1.114206128133714,3.7140204271123523,27.959866220735783,27.1571906354515,False,-1.2693,2.0725,2,2,2,100.0,61.67178134052256,87.71331058020478,18.885793871866287,1.114206128133714,历史2/2次成功; 当前距低点1.11%; 最新日涨幅-1.27%; 状态bottom_area; 底部未确认
2,99.34418608272854,84.75793653883588,601390,中国中铁,bottom_area,2026-05-25,4.73,6.47,2026-05-22,4.67,1.2847965738758138,2.3554603854389793,27.820710973724882,26.893353941267378,False,0.0,0.459,1,1,1,100.0,46.06060606060606,46.06060606060606,18.715203426124187,1.2847965738758138,历史1/1次成功; 当前距低点1.28%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
3,96.30761766315244,82.34480320641285,601136,首创证券,bottom_area,2026-05-25,15.18,21.55,2026-05-25,14.97,1.4028056112224387,2.6720106880427426,30.533642691415313,29.559164733178655,False,0.0659,0.3683,1,1,1,100.0,34.53333333333333,34.53333333333333,18.597194388777563,1.4028056112224387,历史1/1次成功; 当前距低点1.40%; 最新日涨幅0.07%; 状态bottom_area; 底部未确认
4,95.74068141084712,81.31599430644245,605089,味知香,bottom_area,2026-05-25,22.38,31.08,2026-05-25,22.15,1.0383747178329592,3.3860045146726865,28.732303732303734,27.99227799227799,False,-0.9735,0.7515,2,2,2,100.0,30.341336898395717,38.50267379679143,18.96162528216704,1.0383747178329592,历史2/2次成功; 当前距低点1.04%; 最新日涨幅-0.97%; 状态bottom_area; 底部未确认
5,94.2047486740495,80.13901395182194,601238,广汽集团,bottom_area,2026-05-25,6.29,8.67,2026-05-22,6.22,1.1254019292604547,2.8938906752411677,28.258362168396772,27.45098039215686,False,-0.7886,0.2268,2,2,2,100.0,25.08027070180526,26.42487046632124,18.874598070739545,1.1254019292604547,历史2/2次成功; 当前距低点1.13%; 最新日涨幅-0.79%; 状态bottom_area; 底部未确认
6,92.98800204089841,79.65107744539107,600507,方大特钢,bottom_area,2026-05-25,4.73,6.5,2026-05-22,4.66,1.5021459227467873,3.433476394849788,28.307692307692307,27.230769230769226,False,0.2119,1.1967,1,1,1,100.0,21.2686567164179,21.2686567164179,18.497854077253216,1.5021459227467873,历史1/1次成功; 当前距低点1.50%; 最新日涨幅0.21%; 状态bottom_area; 底部未确认
7,92.62219496417076,78.83122060734966,603399,永杉锂业,bottom_area,2026-05-25,17.56,25.52,2026-05-22,17.36,1.15207373271889,5.126728110599082,31.974921630094045,31.19122257053292,False,-2.1727,9.5589,1,1,1,100.0,35.04273504273506,35.04273504273506,18.84792626728111,1.15207373271889,历史1/1次成功; 当前距低点1.15%; 最新日涨幅-2.17%; 状态bottom_area; 底部未确认
8,90.295466213339,76.64539090555098,300979,华利集团,bottom_area,2026-05-25,35.15,51.35,2026-05-25,34.8,1.0057471264367857,2.0114942528735713,32.229795520934765,31.548198636806234,False,-0.2271,0.1505,1,1,1,100.0,21.49728147218737,21.49728147218737,18.994252873563216,1.0057471264367857,历史1/1次成功; 当前距低点1.01%; 最新日涨幅-0.23%; 状态bottom_area; 底部未确认
9,89.90624562570176,78.12508295625943,600808,马钢股份,bottom_area,2026-05-25,3.13,4.2,2026-05-22,3.06,2.2875816993463998,5.228758169934645,27.142857142857146,25.47619047619048,False,0.3205,0.8849,1,1,1,100.0,22.692307692307686,22.692307692307686,17.712418300653603,2.2875816993463998,历史1/1次成功; 当前距低点2.29%; 最新日涨幅0.32%; 状态bottom_area; 底部未确认
10,89.18729749067876,76.49380643175274,002396,星网锐捷,bottom_area,2026-05-25,23.9,33.79,2026-05-25,23.53,1.572460688482777,3.3149171270718125,30.36401302160402,29.269014501331757,False,-1.2397,3.8752,1,1,1,100.0,27.629122588674555,27.629122588674555,18.427539311517226,1.572460688482777,历史1/1次成功; 当前距低点1.57%; 最新日涨幅-1.24%; 状态bottom_area; 底部未确认
11,89.02386633118145,76.30110130039472,688819,天能股份,bottom_area,2026-05-25,25.8,36.54,2026-05-25,25.41,1.5348288075560825,3.817394726485631,30.459770114942526,29.39244663382594,False,-1.8265,0.4009,1,1,1,100.0,26.131779471089207,26.131779471089207,18.46517119244392,1.5348288075560825,历史1/1次成功; 当前距低点1.53%; 最新日涨幅-1.83%; 状态bottom_area; 底部未确认
