rank,code,name,rank_score,probability_score,current_drawdown_pct,current_low_to_latest_pct,latest_turn,latest_pct_chg,current_stage,current_is_bottom_confirmed,latest_close,current_low_price,current_top_price,history_success_rate_pct,history_sample_count,history_success_count,reason
1,002358,森源电气,96.2010636662443,83.83971342715522,28.767123287671232,2.4475524475524577,1.7353698337928654,1.559792027729645,bottom_area,False,5.86,5.72,8.03,100.0,2,2,历史2/2次成功; 当前距低点2.45%; 最新日涨幅1.56%; 状态bottom_area; 底部未确认
2,605158,华达新材,95.94817201489482,82.0864102790868,30.641592920353983,1.4354066985646052,0.7772085565679872,0.157480314960634,bottom_area,False,6.36,6.27,9.04,75.0,4,3,历史3/4次成功; 当前距低点1.44%; 最新日涨幅0.16%; 状态bottom_area; 底部未确认
3,300959,线上线下,95.7460736226124,81.63381794970519,31.11082726614723,1.248454882571064,12.337325222092572,-1.3013616098325076,bottom_area,True,163.82,161.8,234.87,100.0,1,1,历史1/1次成功; 当前距低点1.25%; 最新日涨幅-1.30%; 状态bottom_area; 底部已确认
4,600192,长城电工,95.61888941569028,84.20281262366744,32.894736842105274,3.016591251885372,1.0749114689874184,1.6369047619047672,bottom_area,False,6.83,6.63,9.88,100.0,2,2,历史2/2次成功; 当前距低点3.02%; 最新日涨幅1.64%; 状态bottom_area; 底部未确认
5,603657,春光科技,95.29551644365372,81.23145695364238,27.00612310667097,1.2362030905077313,5.466232709519935,-10.007849293563586,bottom_area,True,22.93,22.65,31.03,100.0,1,1,历史1/1次成功; 当前距低点1.24%; 最新日涨幅-10.01%; 状态bottom_area; 底部已确认
6,603680,今创集团,94.92233391628326,81.79415221437158,28.4967320261438,1.8281535648994611,0.4608157760660537,0.723327305605781,bottom_area,False,11.14,10.94,15.3,100.0,1,1,历史1/1次成功; 当前距低点1.83%; 最新日涨幅0.72%; 状态bottom_area; 底部未确认
7,600708,光明地产,94.84667779938296,82.71179808093447,32.21153846153847,2.4822695035461093,0.950991372004254,1.403508771929829,bottom_area,False,2.89,2.82,4.16,100.0,2,2,历史2/2次成功; 当前距低点2.48%; 最新日涨幅1.40%; 状态bottom_area; 底部未确认
8,600615,鑫源智造,94.66615388235292,82.6142,29.73805855161788,2.521929824561409,1.1328380394575026,1.1904761904761862,bottom_area,False,9.35,9.12,12.98,100.0,1,1,历史1/1次成功; 当前距低点2.52%; 最新日涨幅1.19%; 状态bottom_area; 底部未确认
9,603890,春秋电子,94.25115970698953,81.41817275747508,30.65015479876161,1.96428571428572,14.155374030832393,0.1754385964912286,bottom_area,False,22.84,22.4,32.3,100.0,1,1,历史1/1次成功; 当前距低点1.96%; 最新日涨幅0.18%; 状态bottom_area; 底部未确认
10,000919,金陵药业,93.94808997828578,82.98254004391174,32.389580973952434,3.1825795644891186,1.5095532965915923,1.9867549668874276,bottom_area,False,6.16,5.97,8.83,100.0,3,3,历史3/3次成功; 当前距低点3.18%; 最新日涨幅1.99%; 状态bottom_area; 底部未确认
11,300986,志特新材,93.5885119645383,83.14944418963829,30.314960629921263,3.502824858757068,3.332644197341142,1.890989988876535,bottom_area,False,18.32,17.7,25.4,100.0,2,2,历史2/2次成功; 当前距低点3.50%; 最新日涨幅1.89%; 状态bottom_area; 底部未确认
12,002131,利欧股份,93.45806633349854,80.96841973537624,31.752305665349144,2.123552123552129,4.501106037163105,0.5703422053231932,bottom_area,False,5.29,5.18,7.59,100.0,1,1,历史1/1次成功; 当前距低点2.12%; 最新日涨幅0.57%; 状态bottom_area; 底部未确认
13,002427,尤夫股份,93.3184017474172,81.1225509695954,27.3489932885906,2.309468822170893,1.4199740831291965,0.9111617312072884,bottom_area,False,4.43,4.33,5.96,100.0,2,2,历史2/2次成功; 当前距低点2.31%; 最新日涨幅0.91%; 状态bottom_area; 底部未确认
14,300920,润阳科技,93.21617505335652,81.87106382978723,27.525057825751738,2.8723404255319105,7.527821779763502,0.5720228809152239,bottom_area,False,38.68,37.6,51.88,100.0,1,1,历史1/1次成功; 当前距低点2.87%; 最新日涨幅0.57%; 状态bottom_area; 底部未确认
15,002686,亿利达,92.81058773626766,81.65560209424085,30.545454545454543,2.966841186736473,1.4302824868889676,0.6825938566553003,bottom_area,False,5.9,5.73,8.25,100.0,1,1,历史1/1次成功; 当前距低点2.97%; 最新日涨幅0.68%; 状态bottom_area; 底部未确认
16,600429,三元股份,92.64420058139532,80.56017441860462,29.62356792144027,2.32558139534885,0.8081092044879745,0.6864988558352492,bottom_area,False,4.4,4.3,6.11,100.0,1,1,历史1/1次成功; 当前距低点2.33%; 最新日涨幅0.69%; 状态bottom_area; 底部未确认
17,600326,西藏天路,91.59833217913264,79.5879837281121,28.396322778345244,2.282453637660488,1.4008586463040549,1.2711864406779627,bottom_area,False,7.17,7.01,9.79,100.0,1,1,历史1/1次成功; 当前距低点2.28%; 最新日涨幅1.27%; 状态bottom_area; 底部未确认
18,300950,德固特,91.59128136070063,79.11707843940847,28.909551986475066,1.961950059453022,1.672845648169562,0.8823529411764675,bottom_area,False,17.15,16.82,23.66,100.0,1,1,历史1/1次成功; 当前距低点1.96%; 最新日涨幅0.88%; 状态bottom_area; 底部未确认
19,000888,峨眉山A,91.11471574495124,80.74807570977917,28.496240601503764,3.364879074658258,1.809653290928332,2.8242677824267703,bottom_area,False,9.83,9.51,13.3,100.0,1,1,历史1/1次成功; 当前距低点3.36%; 最新日涨幅2.82%; 状态bottom_area; 底部未确认
20,002556,辉隆股份,91.0429328726312,80.42332746934339,27.140783744557336,3.18725099601594,1.604736416056876,1.3698630136986134,bottom_area,True,5.18,5.02,6.89,100.0,1,1,历史1/1次成功; 当前距低点3.19%; 最新日涨幅1.37%; 状态bottom_area; 底部已确认
21,000020,深华发A,90.79785033441958,78.75255011198732,29.469790382244145,2.185314685314685,1.649266446362677,0.0,bottom_area,False,11.69,11.44,16.22,75.0,4,3,历史3/4次成功; 当前距低点2.19%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
22,002998,优彩资源,90.55832526932528,80.44797202797203,31.578947368421044,3.496503496503496,2.4452642330930145,1.5089163237311354,bottom_area,False,7.4,7.15,10.45,100.0,1,1,历史1/1次成功; 当前距低点3.50%; 最新日涨幅1.51%; 状态bottom_area; 底部未确认
23,000565,渝三峡A,90.37684982117868,80.79142635529608,28.81548974943052,3.840000000000003,2.079419385295082,0.7763975155279379,bottom_area,False,6.49,6.25,8.78,100.0,2,2,历史2/2次成功; 当前距低点3.84%; 最新日涨幅0.78%; 状态bottom_area; 底部未确认
24,002107,沃华医药,90.08767974560187,80.19319587628867,30.132052821128447,3.608247422680412,2.088278897974704,2.0304568527918843,bottom_area,False,6.03,5.82,8.33,100.0,1,1,历史1/1次成功; 当前距低点3.61%; 最新日涨幅2.03%; 状态bottom_area; 底部未确认
25,301171,易点天下,89.90101083001744,74.9958522705013,29.430698048682363,0.0570125427594159,9.652696873954625,-2.010050251256279,bottom_area,False,35.1,35.08,49.71,100.0,1,1,历史1/1次成功; 当前距低点0.06%; 最新日涨幅-2.01%; 状态bottom_area; 底部未确认
26,301616,浙江华业,89.77218728197437,78.36229297515268,32.213099102539616,2.535211267605629,1.969241433506367,0.2202643171806073,bottom_area,False,36.4,35.5,52.37,100.0,1,1,历史1/1次成功; 当前距低点2.54%; 最新日涨幅0.22%; 状态bottom_area; 底部未确认
27,002073,软控股份,88.6974885012592,77.56760467456077,29.388297872340424,2.636534839924681,1.5590758852145024,1.869158878504673,bottom_area,False,5.45,5.31,7.52,100.0,1,1,历史1/1次成功; 当前距低点2.64%; 最新日涨幅1.87%; 状态bottom_area; 底部未确认
28,688317,之江生物,88.68392185191001,78.26127536622161,32.24489795918367,3.1325301204819254,1.124179015275718,1.3617525162818334,bottom_area,False,17.12,16.6,24.5,75.0,4,3,历史3/4次成功; 当前距低点3.13%; 最新日涨幅1.36%; 状态bottom_area; 底部未确认
29,300579,数字认证,88.66423415185136,80.02859085914376,27.566807313642755,4.368932038834944,1.3871671258293103,3.0680728667305868,bottom_area,False,21.5,20.6,28.44,100.0,3,3,历史3/3次成功; 当前距低点4.37%; 最新日涨幅3.07%; 状态bottom_area; 底部未确认
30,002015,协鑫能科,88.63669617117841,74.26177022274325,32.408874801901746,0.2930832356389257,6.030253882897348,-3.4968979131415723,bottom_area,False,17.11,17.06,25.24,100.0,1,1,历史1/1次成功; 当前距低点0.29%; 最新日涨幅-3.50%; 状态bottom_area; 底部未确认
31,688670,金迪克,88.49008951754955,79.19732495464466,31.132075471698112,3.9041095890410977,1.0469967532467532,1.9489247311827995,bottom_area,False,15.17,14.6,21.2,100.0,1,1,历史1/1次成功; 当前距低点3.90%; 最新日涨幅1.95%; 状态bottom_area; 底部未确认
32,605005,合兴股份,88.48211747003207,79.3176175144881,28.69605142332416,3.99227301996136,0.3309975062344139,2.0859671302149163,bottom_area,False,16.15,15.53,21.78,100.0,1,1,历史1/1次成功; 当前距低点3.99%; 最新日涨幅2.09%; 状态bottom_area; 底部未确认
33,603086,先达股份,88.27481060893938,79.20383128295256,27.9746835443038,4.042179261862909,1.7208083753660317,2.5996533795493937,bottom_area,False,5.92,5.69,7.9,100.0,1,1,历史1/1次成功; 当前距低点4.04%; 最新日涨幅2.60%; 状态bottom_area; 底部未确认
34,002075,沙钢股份,88.27458983979483,79.26063524347772,28.838174273858925,4.081632653061215,1.6666075043125366,3.1791907514450823,bottom_area,False,3.57,3.43,4.82,100.0,2,2,历史2/2次成功; 当前距低点4.08%; 最新日涨幅3.18%; 状态bottom_area; 底部未确认
35,300141,和顺电气,88.08770063765344,78.68218789762889,27.72563176895307,3.796203796203805,1.9632485233939243,1.762977473065619,bottom_area,False,10.39,10.01,13.85,100.0,2,2,历史2/2次成功; 当前距低点3.80%; 最新日涨幅1.76%; 状态bottom_area; 底部未确认
36,301088,戎美股份,88.0130249734553,77.98398962807828,28.299776286353463,3.354134165366612,0.7556914893617022,1.067887109077037,bottom_area,False,13.25,12.82,17.88,100.0,1,1,历史1/1次成功; 当前距低点3.35%; 最新日涨幅1.07%; 状态bottom_area; 底部未确认
37,002790,瑞尔特,87.92347482322073,78.97551057130005,28.308823529411768,4.102564102564107,1.6694061124483357,1.162790697674421,bottom_area,False,6.09,5.85,8.16,100.0,1,1,历史1/1次成功; 当前距低点4.10%; 最新日涨幅1.16%; 状态bottom_area; 底部未确认
38,002451,摩恩电气,87.69056162966551,76.90062848556663,28.148854961832058,2.788844621513944,1.996588928123944,1.4416775884665831,bottom_area,False,7.74,7.53,10.48,75.0,4,3,历史3/4次成功; 当前距低点2.79%; 最新日涨幅1.44%; 状态bottom_area; 底部未确认
